term	level	class
GO:0000001	5	biological_process
GO:0000002	6	biological_process
GO:0000003	1	biological_process
GO:0000006	5	molecular_function
GO:0000007	5	molecular_function
GO:0000009	6	molecular_function
GO:0000010	5	molecular_function
GO:0000011	6	biological_process
GO:0000012	6	biological_process
GO:0000014	6	molecular_function
GO:0000015	3	cellular_component
GO:0000016	5	molecular_function
GO:0000017	8	biological_process
GO:0000018	6	biological_process
GO:0000019	7	biological_process
GO:0000022	4	biological_process
GO:0000023	6	biological_process
GO:0000024	7	biological_process
GO:0000025	7	biological_process
GO:0000026	6	molecular_function
GO:0000027	7	biological_process
GO:0000028	7	biological_process
GO:0000030	5	molecular_function
GO:0000031	5	molecular_function
GO:0000032	6	biological_process
GO:0000033	6	molecular_function
GO:0000034	5	molecular_function
GO:0000035	2	molecular_function
GO:0000036	3	molecular_function
GO:0000038	5	biological_process
GO:0000041	7	biological_process
GO:0000045	6	biological_process
GO:0000048	3	molecular_function
GO:0000049	5	molecular_function
GO:0000050	4	biological_process
GO:0000052	5	biological_process
GO:0000053	4	biological_process
GO:0000054	3	biological_process
GO:0000055	4	biological_process
GO:0000056	4	biological_process
GO:0000062	4	molecular_function
GO:0000064	7	molecular_function
GO:0000070	4	biological_process
GO:0000073	4	biological_process
GO:0000075	4	biological_process
GO:0000076	6	biological_process
GO:0000077	5	biological_process
GO:0000079	6	biological_process
GO:0000080	4	biological_process
GO:0000082	5	biological_process
GO:0000083	4	biological_process
GO:0000084	4	biological_process
GO:0000085	4	biological_process
GO:0000086	5	biological_process
GO:0000087	4	biological_process
GO:0000088	4	biological_process
GO:0000089	5	biological_process
GO:0000090	4	biological_process
GO:0000091	5	biological_process
GO:0000092	5	biological_process
GO:0000093	4	biological_process
GO:0000095	4	molecular_function
GO:0000096	4	biological_process
GO:0000097	5	biological_process
GO:0000098	5	biological_process
GO:0000099	4	molecular_function
GO:0000100	4	molecular_function
GO:0000101	5	biological_process
GO:0000102	6	molecular_function
GO:0000103	4	biological_process
